DATE,TIME,PICK UP ADDRESS
07-01-2014,3:25:00 AM," 355 E 143rd St Mott Haven, BX"
07-01-2014,3:25:00 AM," 325 E 143rd St Cortlandt, BX"
07-01-2014,3:28:00 AM, 621 Melrose Ave Bronx
07-01-2014,3:30:00 AM," 370 Brook Ave Mott Haven, BX"
07-01-2014,3:34:00 AM," 810 E 152nd St South Bronx, BX"
07-01-2014,3:34:00 AM," 510 E 156th St South Bronx, BX"
07-01-2014,3:40:00 AM," 760 Grand Concourse Cortlandt, BX"
07-01-2014,3:43:00 AM," 535 E 142nd St Mott Haven, BX"
07-01-2014,3:48:00 AM," 929 Courtlandt Ave Cortlandt, BX"
07-01-2014,3:48:00 AM," 205 Brook Ave Mott Haven, BX"
07-01-2014,3:49:00 AM," 388 E 141st St Mott Haven, BX"
07-01-2014,3:52:00 AM," 466 Concord Ave South Bronx, BX"
07-01-2014,3:53:00 AM," 760 Grand Concourse Cortlandt, BX"
07-01-2014,3:53:00 AM," 335 E 148th St Cortlandt, BX"
07-01-2014,4:01:00 AM," 923 Fox St Foxhurst, BX"
07-01-2014,4:04:00 AM," 350 E 143rd St Mott Haven, BX"
07-01-2014,4:05:00 AM," 535 E 142nd St Mott Haven, BX"
07-01-2014,4:06:00 AM,"bakery  E 132nd St Mott Haven, BX"
07-01-2014,4:07:00 AM," 283 Cypress Ave Mott Haven, BX"
07-01-2014,4:24:00 AM," 383 E 141st St Mott Haven, BX"
07-01-2014,4:25:00 AM," 380 E 139th St Mott Haven, BX"
07-01-2014,4:30:00 AM," 530 E 144th St Mott Haven, BX"
07-01-2014,4:38:00 AM," 650 Saint Marys St Mott Haven, BX"
07-01-2014,4:40:00 AM," 941 Leggett Ave South Bronx, BX"
07-01-2014,4:41:00 AM," 510 E 146th St South Bronx, BX"
07-01-2014,4:41:00 AM," 380 E 143rd St Mott Haven, BX"
07-01-2014,4:46:00 AM," 674 E 136th St Mott Haven, BX"
07-01-2014,4:47:00 AM," 281 E 153rd St Cortlandt, BX"
07-01-2014,4:48:00 AM," 350 E 143rd St Mott Haven, BX"
07-01-2014,4:52:00 AM," 488 E 139th St Mott Haven, BX"
07-01-2014,4:53:00 AM," 600 E 137th St Mott Haven, BX"
07-01-2014,4:54:00 AM," 383 E 141st St Mott Haven, BX"
07-01-2014,4:56:00 AM," 752 Kelly St South Bronx, BX"
07-01-2014,4:57:00 AM," 300 E 143rd St Cortlandt, BX"
07-01-2014,4:58:00 AM," 706 Brook Ave South Bronx, BX"
07-01-2014,4:59:00 AM," 604 Oak Ter Mott Haven, BX"
07-01-2014,5:00:00 AM," 340 Beekman Ave Mott Haven, BX"
07-01-2014,5:02:00 AM," 418 E 148th St South Bronx, BX"
07-01-2014,5:04:00 AM," 511 E 146th St South Bronx, BX"
07-01-2014,5:11:00 AM," 554 E 149th St South Bronx, BX"
07-01-2014,5:11:00 AM," 163 W 161st St High Bridge, BX"
07-01-2014,5:25:00 AM," 331 E 132nd St Mott Haven, BX"
07-01-2014,5:28:00 AM," 775 Morris Ave Cortlandt, BX"
07-01-2014,5:30:00 AM," 670 Eagle Ave South Bronx, BX"
07-01-2014,5:32:00 AM," 537 Tinton Ave South Bronx, BX"
07-01-2014,5:33:00 AM," 874 E 139th St Mott Haven, BX"
07-01-2014,5:36:00 AM," 436 E 149th St South Bronx, BX"
07-01-2014,5:40:00 AM," 530 E 137th St Mott Haven, BX"
07-01-2014,5:40:00 AM," 674 E 149th St South Bronx, BX"
07-01-2014,5:41:00 AM," 683 E 140th St Mott Haven, BX"
07-01-2014,5:44:00 AM," 402 E 136th St Mott Haven, BX"
07-01-2014,5:44:00 AM," 352 Beekman Ave Mott Haven, BX"
07-01-2014,5:47:00 AM," 535 Wales Ave South Bronx, BX"
07-01-2014,5:49:00 AM," 2625 3rd Ave Cortlandt, BX"
07-01-2014,5:53:00 AM," 340 E 151st St Cortlandt, BX"
07-01-2014,5:57:00 AM," 869 Fox St Foxhurst, BX"
07-01-2014,5:57:00 AM," 395 E 151st St Cortlandt, BX"
07-01-2014,5:59:00 AM," 586 Southern Blvd South Bronx, BX"
07-01-2014,6:00:00 AM," 601 E 149th St South Bronx, BX"
07-01-2014,6:00:00 AM," 945 E 163rd St Foxhurst, BX"
07-01-2014,6:02:00 AM," 865 E 135th St Mott Haven, BX"
07-01-2014,6:07:00 AM," 840 Grand Concourse Cortlandt, BX"
07-01-2014,6:10:00 AM," 2505 3rd Ave Cortlandt, BX"
07-01-2014,6:10:00 AM," 602 E 139th St Mott Haven, BX"
07-01-2014,6:12:00 AM," 530 E 137th St Mott Haven, BX"
07-01-2014,6:13:00 AM," 558 Southern Blvd South Bronx, BX"
07-01-2014,6:18:00 AM," 550 Cauldwell Ave South Bronx, BX"
07-01-2014,6:19:00 AM," 353 Cypress Ave Mott Haven, BX"
07-01-2014,6:20:00 AM," 370 Brook Ave Mott Haven, BX"
07-01-2014,6:21:00 AM," 360 Morris Ave Cortlandt, BX"
07-01-2014,6:21:00 AM,"  E 137th St Mott Haven, BX"
07-01-2014,6:23:00 AM," 1877 Belmont Ave Tremont, BX"
07-01-2014,6:24:00 AM," 615 E 141st St Mott Haven, BX"
07-01-2014,6:25:00 AM," 300 E 143rd St Cortlandt, BX"
07-01-2014,6:31:00 AM," 390 E 159th St Cortlandt, BX"
07-01-2014,6:33:00 AM," 455 E 146th St South Bronx, BX"
07-01-2014,6:38:00 AM," 671 Westchester Ave South Bronx, BX"
07-01-2014,6:38:00 AM," 775 Eagle Ave Morrisania, BX"
07-01-2014,6:42:00 AM," 636 Wales Ave South Bronx, BX"
07-01-2014,6:45:00 AM," 570 Saint Marys St Mott Haven, BX"
07-01-2014,6:52:00 AM," 680 Tinton Ave South Bronx, BX"
07-01-2014,6:54:00 AM," 905 Eagle Ave Morrisania, BX"
07-01-2014,6:57:00 AM," 770 E 166th St Morrisania, BX"
07-01-2014,7:00:00 AM," 327 Concord Ave South Bronx, BX"
07-01-2014,7:00:00 AM," 691 E 132nd St Mott Haven, BX"
07-01-2014,7:03:00 AM," 666 Southern Blvd South Bronx, BX"
07-01-2014,7:03:00 AM," 620 Trinity Ave South Bronx, BX"
07-01-2014,7:05:00 AM," 455 E 148th St South Bronx, BX"
07-01-2014,7:08:00 AM," 837 Trinity Ave Morrisania, BX"
07-01-2014,7:08:00 AM," 296 Brook Ave Mott Haven, BX"
07-01-2014,7:11:00 AM," 325 Cypress Ave Mott Haven, BX"
07-01-2014,7:12:00 AM," 454 E 148th St South Bronx, BX"
07-01-2014,7:14:00 AM," 400 Brook Ave Mott Haven, BX"
07-01-2014,7:17:00 AM," 331 E 132nd St Mott Haven, BX"
07-01-2014,7:18:00 AM," 422 E 143rd St Mott Haven, BX"
07-01-2014,7:19:00 AM," 398 E 152nd St South Bronx, BX"
07-01-2014,7:23:00 AM," 800 Saint Anns Ave Morrisania, BX"
07-01-2014,7:24:00 AM," 620 E 141st St Mott Haven, BX"
07-01-2014,7:25:00 AM," 281 E 143rd St Cortlandt, BX"
07-01-2014,7:27:00 AM," 780 Saint Anns Ave South Bronx, BX"
07-01-2014,7:28:00 AM," 815 E 152nd St South Bronx, BX"
07-01-2014,7:28:00 AM," 595 Trinity Ave South Bronx, BX"
07-01-2014,7:30:00 AM," 630 Concord Ave South Bronx, BX"
07-01-2014,7:30:00 AM," 868 Faile St Hunts Point, BX"
07-01-2014,7:32:00 AM," 755 Southern Blvd Foxhurst, BX"
07-01-2014,7:32:00 AM," 597 E 139th St Mott Haven, BX"
07-01-2014,7:34:00 AM," 553 E 148th St South Bronx, BX"
07-01-2014,7:34:00 AM," 1224 Prospect Ave Foxhurst, BX"
07-01-2014,7:34:00 AM," 500 Trinity Ave South Bronx, BX"
07-01-2014,7:37:00 AM," 331 E 132nd St Mott Haven, BX"
07-01-2014,7:38:00 AM," 445 E 140th St Mott Haven, BX"
07-01-2014,7:38:00 AM," 455 E 146th St South Bronx, BX"
07-01-2014,7:39:00 AM," 780 Saint Anns Ave South Bronx, BX"
07-01-2014,7:39:00 AM," 510 E 156th St South Bronx, BX"
07-01-2014,7:41:00 AM," 471 Wales Ave South Bronx, BX"
07-01-2014,7:42:00 AM," 645 Prospect Ave South Bronx, BX"
07-01-2014,7:42:00 AM," 488 E 163rd St Cortlandt, BX"
07-01-2014,7:42:00 AM," 530 E 159th St Cortlandt, BX"
07-01-2014,7:43:00 AM," 593 Oak Ter Mott Haven, BX"
07-01-2014,7:44:00 AM,"CHASE BANK  270 E 137th St Mott Haven, BX"
07-01-2014,7:45:00 AM," 555 Cauldwell Ave South Bronx, BX"
07-01-2014,7:46:00 AM," 731 E 156th St South Bronx, BX"
07-01-2014,7:48:00 AM," 370 Brook Ave Mott Haven, BX"
07-01-2014,7:48:00 AM," 720 Westchester Ave South Bronx, BX"
07-01-2014,7:49:00 AM," 694 Saint Marys St Mott Haven, BX"
07-01-2014,7:50:00 AM," 370 Morris Ave Cortlandt, BX"
07-01-2014,7:51:00 AM," 559 Southern Blvd South Bronx, BX"
07-01-2014,7:53:00 AM," 710 Tinton Ave South Bronx, BX"
07-01-2014,7:56:00 AM," 890 Trinity Ave Morrisania, BX"
07-01-2014,7:57:00 AM," 400 Brook Ave Mott Haven, BX"
07-01-2014,7:57:00 AM," 720 Saint Marys St Mott Haven, BX"
07-01-2014,7:58:00 AM," 2804 3rd Ave South Bronx, BX"
07-01-2014,7:59:00 AM," 430 E 138th St Mott Haven, BX"
07-01-2014,8:00:00 AM," 318 E 160th St Cortlandt, BX"
07-01-2014,8:02:00 AM," 866 Hunts Point Ave Hunts Point, BX"
07-01-2014,8:02:00 AM," 1152 Randall Ave Hunts Point, BX"
07-01-2014,8:02:00 AM," 731 E 161st St Morrisania, BX"
07-01-2014,8:04:00 AM," 105 Willis Ave Mott Haven, BX"
07-01-2014,8:05:00 AM," 611 Hollywood Ave Throgs Neck, BX"
07-01-2014,8:05:00 AM," 467 E 137th St Mott Haven, BX"
07-01-2014,8:05:00 AM," 600 Trinity Ave South Bronx, BX"
07-01-2014,8:05:00 AM," 1104 Clay Ave Morrisania, BX"
07-01-2014,8:06:00 AM," 864 Hewitt Pl Foxhurst, BX"
07-01-2014,8:08:00 AM," 503 Jackson Ave South Bronx, BX"
07-01-2014,8:09:00 AM," 390 Jackson Ave South Bronx, BX"
07-01-2014,8:11:00 AM," 105 Willis Ave Mott Haven, BX"
07-01-2014,8:13:00 AM," 341 E 145th St Cortlandt, BX"
07-01-2014,8:15:00 AM," 555 Cauldwell Ave South Bronx, BX"
07-01-2014,8:15:00 AM," 780 Saint Anns Ave South Bronx, BX"
07-01-2014,8:18:00 AM," 414 E 140th St Mott Haven, BX"
07-01-2014,8:20:00 AM," 808 Courtlandt Ave Cortlandt, BX"
07-01-2014,8:20:00 AM," 706 Saint Marys St Mott Haven, BX"
07-01-2014,8:21:00 AM," 480 Concord Ave South Bronx, BX"
07-01-2014,8:22:00 AM," 451 Wales Ave South Bronx, BX"
07-01-2014,8:22:00 AM," 710 Tinton Ave South Bronx, BX"
07-01-2014,8:24:00 AM,"credit cARD  370 Saint Anns Ave Mott Haven, BX"
07-01-2014,8:24:00 AM," 455 Jackson Ave South Bronx, BX"
07-01-2014,8:26:00 AM," 674 E 136th St Mott Haven, BX"
07-01-2014,8:27:00 AM," 383 E 143rd St Mott Haven, BX"
07-01-2014,8:28:00 AM," 835 Trinity Ave Morrisania, BX"
07-01-2014,8:29:00 AM," 700 E 156th St South Bronx, BX"
07-01-2014,8:29:00 AM," 3080 Park Ave Cortlandt, BX"
07-01-2014,8:29:00 AM," 775 Eagle Ave Morrisania, BX"
07-01-2014,8:29:00 AM," 331 E 132nd St Mott Haven, BX"
07-01-2014,8:33:00 AM," 353 Cypress Ave Mott Haven, BX"
07-01-2014,8:33:00 AM," 325 Cypress Ave Mott Haven, BX"
07-01-2014,8:33:00 AM," 250 E 156th St Cortlandt, BX"
07-01-2014,8:34:00 AM," 1142 Franklin Ave Morrisania, BX"
07-01-2014,8:34:00 AM, 597 E 139 St Bronx
07-01-2014,8:34:00 AM," 471 E 140th St Mott Haven, BX"
07-01-2014,8:36:00 AM," 700 E 156th St South Bronx, BX"
07-01-2014,8:36:00 AM," 61 Bruckner Blvd Mott Haven, BX"
07-01-2014,8:36:00 AM," 324 Powers Ave Mott Haven, BX"
07-01-2014,8:37:00 AM," 281 E 143rd St Cortlandt, BX"
07-01-2014,8:37:00 AM," 390 Jackson Ave South Bronx, BX"
07-01-2014,8:38:00 AM," 440 Jackson Ave South Bronx, BX"
07-01-2014,8:39:00 AM," 600 Eagle Ave South Bronx, BX"
07-01-2014,8:40:00 AM," 390 Jackson Ave South Bronx, BX"
07-01-2014,8:41:00 AM," 770 E 166th St Morrisania, BX"
07-01-2014,8:42:00 AM," 596 E 139th St Mott Haven, BX"
07-01-2014,8:43:00 AM," 700 Westchester Ave South Bronx, BX"
07-01-2014,8:44:00 AM," 550 Cauldwell Ave South Bronx, BX"
07-01-2014,8:44:00 AM," 500 Southern Blvd South Bronx, BX"
07-01-2014,8:46:00 AM,"  E 150th St South Bronx, BX"
07-01-2014,8:46:00 AM," 281 E 143rd St Cortlandt, BX"
07-01-2014,8:47:00 AM," 383 E 143rd St Mott Haven, BX"
07-01-2014,8:47:00 AM," 370 Brook Ave Mott Haven, BX"
07-01-2014,8:47:00 AM," 1150 College Ave Morrisania, BX"
07-01-2014,8:48:00 AM," 560 E 144th St Mott Haven, BX"
07-01-2014,8:48:00 AM," 601 E 149th St South Bronx, BX"
07-01-2014,8:48:00 AM," 1070 Anderson Ave High Bridge, BX"
07-01-2014,8:48:00 AM," 3952 3rd Ave Tremont, BX"
07-01-2014,8:48:00 AM," 512 E 145th St Mott Haven, BX"
07-01-2014,8:51:00 AM," 1470 Saint Lawrence Ave Soundview, BX"
07-01-2014,8:52:00 AM," 400 Brook Ave Mott Haven, BX"
07-01-2014,8:52:00 AM," 340 Beekman Ave Mott Haven, BX"
07-01-2014,8:53:00 AM, 720 Saint MARRY NYC
07-01-2014,8:54:00 AM," 502 Jackson Ave South Bronx, BX"
07-01-2014,8:55:00 AM," 512 E 145th St Mott Haven, BX"
07-01-2014,8:55:00 AM," 775 Eagle Ave Morrisania, BX"
07-01-2014,8:56:00 AM,"  Brook Ave Mott Haven, BX"
07-01-2014,8:56:00 AM," 3050 Park Ave Cortlandt, BX"
07-01-2014,8:59:00 AM," 520 Concord Ave South Bronx, BX"
07-01-2014,8:59:00 AM," 283 Cypress Ave Mott Haven, BX"
07-01-2014,9:01:00 AM," 620 Trinity Ave South Bronx, BX"
07-01-2014,9:02:00 AM," 370 Brook Ave Mott Haven, BX"
07-01-2014,9:03:00 AM," 353 Cypress Ave Mott Haven, BX"
07-01-2014,9:04:00 AM," 434 E 144th St Mott Haven, BX"
07-01-2014,9:05:00 AM," 170 Brown Pl Mott Haven, BX"
07-01-2014,9:05:00 AM," 512 E 145th St Mott Haven, BX"
07-01-2014,9:06:00 AM," 1138 Washington Ave Morrisania, BX"
07-01-2014,9:06:00 AM," 931 Ave Saint John South Bronx, BX"
07-01-2014,9:06:00 AM," 535 E 142nd St Mott Haven, BX"
07-01-2014,9:07:00 AM," 169 Cypress Ave Mott Haven, BX"
07-01-2014,9:10:00 AM," 920 Westchester Ave Foxhurst, BX"
07-01-2014,9:11:00 AM, 331 E 132 Bronx
07-01-2014,9:12:00 AM," 1011 Woodycrest Ave High Bridge, BX"
07-01-2014,9:13:00 AM," 792 E 151st St South Bronx, BX"
07-01-2014,9:16:00 AM," 226 W 242nd St Riverdale, BX"
07-01-2014,9:17:00 AM," 370 E 153rd St South Bronx, BX"
07-01-2014,9:19:00 AM," 100 Erskine Pl Co-Op City, BX"
07-01-2014,9:20:00 AM," 340 Beekman Ave Mott Haven, BX"
07-01-2014,9:23:00 AM," 360 E 137th St Mott Haven, BX"
07-01-2014,9:25:00 AM,"JETRO   Bruckner Blvd Mott Haven, BX"
07-01-2014,9:29:00 AM," 592 Oak Ter Mott Haven, BX"
07-01-2014,9:29:00 AM," 591 Jackson Ave South Bronx, BX"
07-01-2014,9:30:00 AM," 745 E 152nd St South Bronx, BX"
07-01-2014,9:31:00 AM," 545 E 145th St Mott Haven, BX"
07-01-2014,9:33:00 AM," 205 Alexander Ave Mott Haven, BX"
07-01-2014,9:33:00 AM," 762 Elton Ave Cortlandt, BX"
07-01-2014,9:33:00 AM," 85 Bruckner Blvd Mott Haven, BX"
07-01-2014,9:36:00 AM," 383 E 141st St Mott Haven, BX"
07-01-2014,9:36:00 AM," 875 E 147th St South Bronx, BX"
07-01-2014,9:39:00 AM," 535 Jackson Ave South Bronx, BX"
07-01-2014,9:40:00 AM," 545 E 145th St Mott Haven, BX"
07-01-2014,9:40:00 AM," 545 E 145th St Mott Haven, BX"
07-01-2014,9:42:00 AM," 528 E 142nd St Mott Haven, BX"
07-01-2014,9:44:00 AM," 331 E 132nd St Mott Haven, BX"
07-01-2014,9:44:00 AM," 400 Brook Ave Mott Haven, BX"
07-01-2014,9:44:00 AM," 300 Morris Ave Cortlandt, BX"
07-01-2014,9:45:00 AM," 328 E 145th St Cortlandt, BX"
07-01-2014,9:46:00 AM," 676 Beck St South Bronx, BX"
07-01-2014,9:46:00 AM," 347 Concord Ave South Bronx, BX\"
07-01-2014,9:47:00 AM," 550 E 147th St South Bronx, BX"
07-01-2014,9:47:00 AM," 296 Brook Ave Mott Haven, BX"
07-01-2014,9:47:00 AM," 606 Union Ave South Bronx, BX"
07-01-2014,9:48:00 AM," 370 E 153rd St South Bronx, BX"
07-01-2014,9:48:00 AM," 545 E 145th St Mott Haven, BX"
07-01-2014,9:51:00 AM," 400 Brook Ave Mott Haven, BX"
07-01-2014,9:57:00 AM," 281 E 143rd St Cortlandt, BX"
07-01-2014,9:58:00 AM," 331 E 132nd St Mott Haven, BX"
07-01-2014,9:58:00 AM," 165 Saint Anns Ave Mott Haven, BX"
07-01-2014,9:59:00 AM," 977 Ave Saint John South Bronx, BX"
07-01-2014,10:00:00 AM," 480 Concord Ave South Bronx, BX"
07-01-2014,10:03:00 AM," 331 E 132nd St Mott Haven, BX"
07-01-2014,10:03:00 AM," 735 E 165th St Morrisania, BX"
07-01-2014,10:04:00 AM," 700 E 156th St South Bronx, BX"
07-01-2014,10:05:00 AM," 2615 3rd Ave Cortlandt, BX"
07-01-2014,10:06:00 AM," 461 E 136th St Mott Haven, BX"
07-01-2014,10:09:00 AM," 613 E 138th St Mott Haven, BX"
07-01-2014,10:10:00 AM," 452 E 148th St South Bronx, BX"
07-01-2014,10:10:00 AM," 510 E 146th St South Bronx, BX"
07-01-2014,10:12:00 AM," 669 Cauldwell Ave South Bronx, BX"
07-01-2014,10:15:00 AM," 907 E 173rd St Westfarms, BX"
07-01-2014,10:15:00 AM, 22 W 128 St NYC
07-01-2014,10:16:00 AM," 578 E 134th St Mott Haven, BX"
07-01-2014,10:21:00 AM," 660 Southern Blvd South Bronx, BX"
07-01-2014,10:24:00 AM," 928 Taylor Ave Clason Point, BX"
07-01-2014,10:26:00 AM," 853 Longwood Ave Foxhurst, BX"
07-01-2014,10:27:00 AM," 710 Tinton Ave South Bronx, BX"
07-01-2014,10:27:00 AM," 592 E 141st St Mott Haven, BX"
07-01-2014,10:28:00 AM," 628 E 141st St Mott Haven, BX"
07-01-2014,10:30:00 AM," 350 E 143rd St Mott Haven, BX"
07-01-2014,10:32:00 AM," 612 Beech Ter Mott Haven, BX"
07-01-2014,10:33:00 AM," 605 E 138th St Mott Haven, BX"
07-01-2014,10:34:00 AM," 350 Saint Anns Ave Mott Haven, BX"
07-01-2014,10:34:00 AM," 350 E 137th St Mott Haven, BX"
07-01-2014,10:35:00 AM," 800 Saint Anns Ave Morrisania, BX"
07-01-2014,10:35:00 AM, 43 Central Park N NYC
07-01-2014,10:38:00 AM," 592 Oak Ter Mott Haven, BX"
07-01-2014,10:40:00 AM," 372 E 152nd St South Bronx, BX"
07-01-2014,10:44:00 AM," 169 Cypress Ave Mott Haven, BX"
07-01-2014,10:46:00 AM,"food fest  500 E 132nd St Mott Haven, BX"
07-01-2014,10:46:00 AM," 600 E 137th St Mott Haven, BX"
07-01-2014,10:49:00 AM," 350 E 143rd St Mott Haven, BX"
07-01-2014,10:51:00 AM," 510 E 146th St South Bronx, BX"
07-01-2014,10:53:00 AM," 600 Trinity Ave South Bronx, BX"
07-01-2014,10:54:00 AM," 759 Eagle Ave Morrisania, BX"
07-01-2014,10:56:00 AM," 694 E 133rd St Mott Haven, BX"
07-01-2014,10:57:00 AM," 520 E 156th St South Bronx, BX"
07-01-2014,10:58:00 AM," 749 Saint Anns Ave Morrisania, BX"
07-01-2014,11:00:00 AM," 975 Simpson St Foxhurst, BX"
07-01-2014,11:08:00 AM," 281 E 143rd St Cortlandt, BX"
07-01-2014,11:08:00 AM," 454 E 160th St Cortlandt, BX"
07-01-2014,11:09:00 AM," 765 Courtlandt Ave Cortlandt, BX"
07-01-2014,11:12:00 AM," 380 E 143rd St Mott Haven, BX"
07-01-2014,11:15:00 AM," 175 Alexander Ave Mott Haven, BX"
07-01-2014,11:19:00 AM," 545 E 145th St Mott Haven, BX"
07-01-2014,11:23:00 AM," 545 E 145th St Mott Haven, BX"
07-01-2014,11:27:00 AM," 1942 Williamsbridge Rd Morris Park, BX"
07-01-2014,11:31:00 AM," 406 E 144th St Mott Haven, BX"
07-01-2014,11:32:00 AM," 489 E 142nd St Mott Haven, BX"
07-01-2014,11:33:00 AM," 626 Trinity Ave South Bronx, BX"
